Date,Symbol,Open,High,Low,Close,Adj Close,Volume
08-07-2013,KOTAKBANK,348.5,350.475006,341.549988,346.125,344.601868,1059670
09-07-2013,KOTAKBANK,348.049988,359.5,342.825012,357.024994,355.453918,1115624
10-07-2013,KOTAKBANK,359,368.25,358.799988,363.174988,361.576874,1783838
11-07-2013,KOTAKBANK,365,376,365,372.899994,371.259064,1616150
12-07-2013,KOTAKBANK,376.5,380.950012,368.325012,379.049988,377.381989,1183274
15-07-2013,KOTAKBANK,377.899994,381.149994,373,378.725006,377.058411,877426
16-07-2013,KOTAKBANK,365.299988,372.450012,351.350006,356.424988,354.856506,2002660
17-07-2013,KOTAKBANK,357.5,358.600006,350.024994,355.700012,354.134766,2109950
18-07-2013,KOTAKBANK,357.5,362.5,339.350006,355.850006,354.284119,4841500
19-07-2013,KOTAKBANK,355.549988,356.899994,343.100006,345.424988,343.904938,2257952
22-07-2013,KOTAKBANK,342.600006,351.75,340.575012,350.325012,348.783417,1318854
23-07-2013,KOTAKBANK,352.5,366.975006,351.5,365.049988,363.443542,1227576
24-07-2013,KOTAKBANK,358.450012,358.450012,340,344.725006,343.208038,1593116
25-07-2013,KOTAKBANK,344.350006,349.5,340.600006,342.575012,341.067505,1346216
26-07-2013,KOTAKBANK,346.899994,347.5,333.75,339.975006,338.478943,1830618
29-07-2013,KOTAKBANK,338.5,341.424988,328.549988,330.950012,329.493622,2587772
30-07-2013,KOTAKBANK,331.149994,339.450012,323.399994,325.174988,323.744019,1752886
31-07-2013,KOTAKBANK,324,329.850006,311.25,326.174988,324.739655,3809576
01-08-2013,KOTAKBANK,327.600006,337.5,319.399994,333.149994,331.68399,2179628
02-08-2013,KOTAKBANK,331.125,336.149994,322.5,326.75,325.312164,1498506
05-08-2013,KOTAKBANK,326.75,332.899994,320.5,330.450012,328.995819,1044428
06-08-2013,KOTAKBANK,328.350006,328.350006,315,319.075012,317.670929,5545754
07-08-2013,KOTAKBANK,316,322.899994,316,320.450012,319.039886,2008648
08-08-2013,KOTAKBANK,322.5,328.25,319.149994,326.375,324.938812,1280828
12-08-2013,KOTAKBANK,326.549988,330.25,323.350006,325.024994,323.594727,5446794
13-08-2013,KOTAKBANK,325,330.899994,319.100006,329.549988,328.099823,1415696
14-08-2013,KOTAKBANK,330,334.674988,326.950012,330.649994,329.194977,2952394
16-08-2013,KOTAKBANK,326.125,330.375,313.450012,316.125,314.733856,3788566
19-08-2013,KOTAKBANK,314.5,317.5,306.075012,310.399994,309.034058,1319798
20-08-2013,KOTAKBANK,303.174988,321.399994,301.174988,317.100006,315.70459,9529640
21-08-2013,KOTAKBANK,325.049988,337,309,312.274994,310.900879,1883338
22-08-2013,KOTAKBANK,310.899994,319.25,307.5,315.299988,313.912537,3073496
23-08-2013,KOTAKBANK,318,323.600006,312,321.274994,319.861267,4057098
26-08-2013,KOTAKBANK,324.625,325,312.5,316.575012,315.181915,1478032
27-08-2013,KOTAKBANK,310,311,300.5,306.774994,305.425049,2255254
28-08-2013,KOTAKBANK,299,311.924988,294,303.325012,301.990234,3134430
29-08-2013,KOTAKBANK,304.25,329.899994,298.125,323.725006,322.300446,4971674
30-08-2013,KOTAKBANK,317.5,334.5,304.225006,329.799988,328.348724,3549300
02-09-2013,KOTAKBANK,327.450012,337.350006,311.174988,313.5,312.120453,1362662
03-09-2013,KOTAKBANK,315.100006,320,298,300.325012,299.003418,2264498
04-09-2013,KOTAKBANK,299.950012,312,295.5,304.25,302.911163,2158200
05-09-2013,KOTAKBANK,312.625,337.5,312.625,331,329.543427,3263316
06-09-2013,KOTAKBANK,333.850006,340.799988,326.375,338.625,337.134888,2193286
10-09-2013,KOTAKBANK,343.149994,357.200012,342.549988,354.225006,352.666229,1905336
11-09-2013,KOTAKBANK,350,359.149994,344.5,357.600006,356.026428,1939814
12-09-2013,KOTAKBANK,357.600006,360.424988,345.924988,350.25,348.70874,1308428
13-09-2013,KOTAKBANK,347.450012,361.450012,345.600006,358,356.424622,1944866
16-09-2013,KOTAKBANK,367.5,369.350006,351.950012,355.549988,353.985413,11343848
17-09-2013,KOTAKBANK,357,357.799988,350.524994,354.625,353.064453,995932
18-09-2013,KOTAKBANK,355,358.5,348.5,357.424988,355.852112,1632454
19-09-2013,KOTAKBANK,373.549988,389.5,371,385.825012,384.127167,3485612
20-09-2013,KOTAKBANK,386.5,387.975006,363.700012,374.100006,372.453796,2535230
23-09-2013,KOTAKBANK,366.774994,370.350006,357.024994,359.649994,358.067322,1523848
24-09-2013,KOTAKBANK,353.5,366.200012,353.5,360.049988,358.465607,1355014
25-09-2013,KOTAKBANK,360.600006,362.375,347.625,354.649994,353.089355,3253054
26-09-2013,KOTAKBANK,354.649994,360.75,349,351.700012,350.152344,2545946
27-09-2013,KOTAKBANK,353.5,356.424988,340.049988,341.424988,339.922516,1364778
30-09-2013,KOTAKBANK,338.5,344.575012,334.200012,339.049988,337.558014,1307142
01-10-2013,KOTAKBANK,339.200012,344.75,333.5,342.549988,341.042572,925668
03-10-2013,KOTAKBANK,345,352.424988,343.799988,350.049988,348.509583,1571032
04-10-2013,KOTAKBANK,348.899994,353.799988,344.899994,347.774994,346.244629,1554416
07-10-2013,KOTAKBANK,346.625,350,338.549988,343.375,341.863983,979454
08-10-2013,KOTAKBANK,352.75,358.375,343,347.424988,345.896149,1045696
09-10-2013,KOTAKBANK,343.5,361.850006,342.674988,359.399994,357.818481,1188582
10-10-2013,KOTAKBANK,358.5,361.75,350.149994,352.850006,351.297302,1945376
11-10-2013,KOTAKBANK,357.5,360.024994,351.299988,352.5,350.948822,1766882
14-10-2013,KOTAKBANK,352.5,357.25,347.75,349.299988,347.762878,1426638
15-10-2013,KOTAKBANK,351.5,352.5,339.100006,341.450012,339.94751,1337222
17-10-2013,KOTAKBANK,342.350006,347.25,336.5,338.424988,336.93576,1491182
18-10-2013,KOTAKBANK,340.049988,352.174988,339.299988,350.674988,349.131836,2489958
21-10-2013,KOTAKBANK,352.5,361.75,350.125,358.424988,356.847748,2858120
22-10-2013,KOTAKBANK,356.049988,359.899994,353,354.549988,352.989777,1895936
23-10-2013,KOTAKBANK,355.5,359.600006,352.549988,355.049988,353.487579,1351706
24-10-2013,KOTAKBANK,352.850006,365.25,351.799988,353.524994,351.96933,3109388
25-10-2013,KOTAKBANK,353.225006,358.399994,347.674988,352.450012,350.899048,2123074
28-10-2013,KOTAKBANK,354.950012,357.899994,352.799988,354.25,352.691101,1262172
29-10-2013,KOTAKBANK,353,367.5,351.875,366.524994,364.912079,2920580
30-10-2013,KOTAKBANK,368,372.274994,366.549988,369.049988,367.425964,1272858
31-10-2013,KOTAKBANK,369.350006,380.899994,364.649994,376.225006,374.569397,2293376
01-11-2013,KOTAKBANK,376.5,378.100006,372.774994,374.25,372.603119,2345960
05-11-2013,KOTAKBANK,371.700012,376.5,367.174988,372.700012,371.059906,1691006
06-11-2013,KOTAKBANK,372.5,374.075012,365,365.725006,364.115631,541352
07-11-2013,KOTAKBANK,366,373.450012,365,367.325012,365.708588,822708
08-11-2013,KOTAKBANK,363.075012,367,358.625,363.700012,362.099548,852730
11-11-2013,KOTAKBANK,358.049988,363.350006,354.600006,356.174988,354.607605,980366
12-11-2013,KOTAKBANK,355.524994,364.700012,355.524994,358.100006,356.52417,665076
13-11-2013,KOTAKBANK,356.450012,361.75,355,359.125,357.544678,866354
14-11-2013,KOTAKBANK,362.5,367.375,360.149994,362.825012,361.228394,1061552
18-11-2013,KOTAKBANK,368.850006,372.5,366.200012,371.524994,369.890106,1211964
19-11-2013,KOTAKBANK,373,373,366.325012,367.674988,366.057068,810422
20-11-2013,KOTAKBANK,367.674988,372.399994,362.825012,366.475006,364.862305,890750
21-11-2013,KOTAKBANK,363,364.200012,354,355.75,354.18454,1278628
22-11-2013,KOTAKBANK,358.049988,364,356.75,358.299988,356.723328,1061796
25-11-2013,KOTAKBANK,361,374,360.299988,372.825012,371.184418,1019290
26-11-2013,KOTAKBANK,372,374.950012,367.549988,372.924988,371.283905,3297848
27-11-2013,KOTAKBANK,372.350006,374.850006,368.350006,373.524994,371.881287,501214
28-11-2013,KOTAKBANK,373.5,378.424988,370.125,375.950012,374.295654,1599424
29-11-2013,KOTAKBANK,379,382.350006,376,378.399994,376.734863,1147480
02-12-2013,KOTAKBANK,378.125,387,378.125,385.274994,383.579559,950750
03-12-2013,KOTAKBANK,383.325012,383.975006,377.225006,379.350006,377.680634,865754
04-12-2013,KOTAKBANK,376.549988,380.700012,373.325012,374.524994,372.876892,1095694
05-12-2013,KOTAKBANK,379,385.649994,377.5,380.975006,379.298523,1517482
06-12-2013,KOTAKBANK,382.149994,384.5,375.825012,378.924988,377.257507,1258436
09-12-2013,KOTAKBANK,392.5,393.950012,379.875,381.950012,380.269226,1571958
10-12-2013,KOTAKBANK,382.125,388.399994,377.274994,386.25,384.550323,1524756
11-12-2013,KOTAKBANK,383.575012,387.399994,380.350006,384.475006,382.783142,914688
12-12-2013,KOTAKBANK,381.100006,385.350006,378.625,382.549988,380.866608,602626
13-12-2013,KOTAKBANK,379.274994,381.049988,376.950012,379.25,377.581177,738088
16-12-2013,KOTAKBANK,379.200012,379.524994,373.899994,375.399994,373.748047,716338
17-12-2013,KOTAKBANK,378.25,379.274994,369.149994,370.299988,368.670471,613416
18-12-2013,KOTAKBANK,370.450012,381.575012,369.25,375.100006,373.449371,2150854
19-12-2013,KOTAKBANK,378.5,378.549988,360,360.975006,359.386505,1360080
20-12-2013,KOTAKBANK,361.350006,368.174988,357.524994,366.575012,364.961884,2178034
23-12-2013,KOTAKBANK,367.450012,370.5,364.5,366.274994,364.663177,812832
24-12-2013,KOTAKBANK,367,367.5,361.5,364.399994,362.796448,581106
26-12-2013,KOTAKBANK,363.5,367.5,361.024994,362.950012,361.352844,1850304
27-12-2013,KOTAKBANK,364.850006,371.475006,363.5,370.024994,368.396667,1069134
30-12-2013,KOTAKBANK,370.25,370.549988,362.850006,365.899994,364.289795,893452
31-12-2013,KOTAKBANK,367.475006,367.5,362.75,364.125,362.522675,360542
01-01-2014,KOTAKBANK,366,366.024994,360.375,361.274994,359.685181,785536
02-01-2014,KOTAKBANK,361.299988,365.725006,351.5,353.700012,352.143555,912278
03-01-2014,KOTAKBANK,353.549988,358.149994,348.299988,356.274994,354.707245,1145134
06-01-2014,KOTAKBANK,355,358.5,352.799988,357.049988,355.47879,893430
07-01-2014,KOTAKBANK,356,357.5,350,354.075012,352.516907,1287588
08-01-2014,KOTAKBANK,354.5,358.5,351.825012,356.450012,354.881439,625966
09-01-2014,KOTAKBANK,355.25,357.774994,353.325012,355.075012,353.512512,615166
10-01-2014,KOTAKBANK,352.049988,357.399994,349,350.225006,348.683777,732448
13-01-2014,KOTAKBANK,347.575012,362.375,347.575012,358.450012,356.87265,944984
14-01-2014,KOTAKBANK,358,361.549988,353.5,355.649994,354.084961,527652
15-01-2014,KOTAKBANK,357,365.575012,356.274994,364.575012,362.970642,1111286
16-01-2014,KOTAKBANK,365.149994,367.5,361.5,365.725006,364.115631,1102364
17-01-2014,KOTAKBANK,365.25,368.875,360,363.549988,361.950165,646298
20-01-2014,KOTAKBANK,362.899994,368.75,360,364.075012,362.4729,998634
21-01-2014,KOTAKBANK,364.850006,366,352,353.149994,351.595978,3400284
22-01-2014,KOTAKBANK,352.5,359,349.100006,355.149994,353.587128,2640594
23-01-2014,KOTAKBANK,353.5,355.774994,351.600006,352.649994,351.098145,675740
24-01-2014,KOTAKBANK,347.5,352.399994,340.5,342.375,340.868378,1715606
27-01-2014,KOTAKBANK,339.049988,341.25,327.274994,329.049988,327.601959,3229532
28-01-2014,KOTAKBANK,328.5,335,322.524994,329.899994,328.448242,2678918
29-01-2014,KOTAKBANK,333.5,337.475006,331.450012,332,330.539032,1074560
30-01-2014,KOTAKBANK,325.049988,330,323.875,325.024994,323.594727,1684726
31-01-2014,KOTAKBANK,324.75,330.649994,324.375,328.524994,327.079315,1114066
03-02-2014,KOTAKBANK,325.649994,329,324.899994,327.475006,326.033966,2318446
04-02-2014,KOTAKBANK,324,333.924988,321.799988,332.649994,331.186127,1015870
05-02-2014,KOTAKBANK,332.5,335.700012,325.174988,333.75,332.281342,1663084
06-02-2014,KOTAKBANK,336,338.049988,326.25,330.25,328.796753,2181132
07-02-2014,KOTAKBANK,331,333.25,326.200012,329.424988,327.975311,1436778
10-02-2014,KOTAKBANK,330.924988,330.924988,322,323.625,322.200897,1479792
11-02-2014,KOTAKBANK,324.450012,326,320.325012,323.625,322.200897,982674
12-02-2014,KOTAKBANK,325,328.149994,322.049988,324.774994,323.345825,1044374
13-02-2014,KOTAKBANK,324.5,327.049988,316.25,318.399994,316.998871,778574
14-02-2014,KOTAKBANK,319,326.649994,315.25,323.225006,321.802643,1605582
17-02-2014,KOTAKBANK,323.600006,326.674988,321.549988,325.375,323.943176,927666
18-02-2014,KOTAKBANK,325.5,341.5,324.024994,340.149994,338.653137,2132318
19-02-2014,KOTAKBANK,340,344.200012,335.25,342.950012,341.440826,2235844
20-02-2014,KOTAKBANK,340.850006,341.450012,333.375,334.875,333.401367,1139712
21-02-2014,KOTAKBANK,335,338.899994,332.25,336.024994,334.546326,952232
24-02-2014,KOTAKBANK,334.049988,340.424988,331,338.799988,337.309143,1474358
25-02-2014,KOTAKBANK,340.149994,341.700012,336.075012,337.875,336.388184,875938
26-02-2014,KOTAKBANK,337.549988,345.450012,337.549988,342.700012,341.191925,1511358
28-02-2014,KOTAKBANK,342.700012,347,337.975006,342.25,340.743896,1864370
03-03-2014,KOTAKBANK,341,346.325012,334,334.975006,333.500946,900454
04-03-2014,KOTAKBANK,335.5,339.450012,332.725006,338.350006,336.861084,1378492
05-03-2014,KOTAKBANK,340.5,342.100006,335.299988,340.399994,338.902039,1430434
06-03-2014,KOTAKBANK,341.5,345.725006,339,343.674988,342.162659,1229082
07-03-2014,KOTAKBANK,348.850006,358.75,345.674988,355.774994,354.209381,3712414
10-03-2014,KOTAKBANK,355,377.5,350.174988,376.200012,374.544556,2949710
11-03-2014,KOTAKBANK,377.899994,378.825012,367.25,372.100006,370.462616,1444206
12-03-2014,KOTAKBANK,372.625,376.350006,367.524994,372.424988,370.786133,1379362
13-03-2014,KOTAKBANK,372.5,388.325012,371.549988,382.174988,380.493225,2002414
14-03-2014,KOTAKBANK,378.325012,380.700012,366.5,377.975006,376.311707,1606906
18-03-2014,KOTAKBANK,378.700012,387.5,378.700012,382.649994,380.966125,1662290
